Entity,Code,Day,Monthly concentration of atmospheric nitrous oxide,Rolling yearly average of the concentration of atmospheric nitrous oxide
World,OWID_WRL,2005-09-15,318.9,318.72083
World,OWID_WRL,2005-10-15,319.11,318.78415
World,OWID_WRL,2005-11-15,319.36,318.85083
World,OWID_WRL,2005-12-15,319.58,318.91833
World,OWID_WRL,2006-01-15,319.73,318.99
World,OWID_WRL,2006-02-15,319.81,319.06665
World,OWID_WRL,2006-03-15,319.77,319.1425
World,OWID_WRL,2006-04-15,319.7,319.21918
World,OWID_WRL,2006-05-15,319.68,319.30417
World,OWID_WRL,2006-06-15,319.66,319.39334
World,OWID_WRL,2006-07-15,319.63,319.475
World,OWID_WRL,2006-08-15,319.68,319.55084
World,OWID_WRL,2006-09-15,319.82,319.6275
World,OWID_WRL,2006-10-15,320,319.70166
World,OWID_WRL,2006-11-15,320.16,319.76834
World,OWID_WRL,2006-12-15,320.27,319.82584
World,OWID_WRL,2007-01-15,320.36,319.87833
World,OWID_WRL,2007-02-15,320.38,319.92584
World,OWID_WRL,2007-03-15,320.28,319.96832
World,OWID_WRL,2007-04-15,320.19,320.00916
World,OWID_WRL,2007-05-15,320.22,320.05417
World,OWID_WRL,2007-06-15,320.25,320.10333
World,OWID_WRL,2007-07-15,320.18,320.14917
World,OWID_WRL,2007-08-15,320.23,320.195
World,OWID_WRL,2007-09-15,320.46,320.24832
World,OWID_WRL,2007-10-15,320.73,320.30917
World,OWID_WRL,2007-11-15,320.95,320.375
World,OWID_WRL,2007-12-15,321.15,320.44833
World,OWID_WRL,2008-01-15,321.32,320.52832
World,OWID_WRL,2008-02-15,321.39,320.6125
World,OWID_WRL,2008-03-15,321.38,320.70416
World,OWID_WRL,2008-04-15,321.39,320.80417
World,OWID_WRL,2008-05-15,321.43,320.905
World,OWID_WRL,2008-06-15,321.45,321.005
World,OWID_WRL,2008-07-15,321.42,321.10834
World,OWID_WRL,2008-08-15,321.4,321.20584
World,OWID_WRL,2008-09-15,321.49,321.2917
World,OWID_WRL,2008-10-15,321.65,321.36835
World,OWID_WRL,2008-11-15,321.8,321.43918
World,OWID_WRL,2008-12-15,321.98,321.50833
World,OWID_WRL,2009-01-15,322.21,321.5825
World,OWID_WRL,2009-02-15,322.34,321.66168
World,OWID_WRL,2009-03-15,322.26,321.735
World,OWID_WRL,2009-04-15,322.1,321.79416
World,OWID_WRL,2009-05-15,321.98,321.84
World,OWID_WRL,2009-06-15,321.95,321.88165
World,OWID_WRL,2009-07-15,322.02,321.93167
World,OWID_WRL,2009-08-15,322.14,321.99335
World,OWID_WRL,2009-09-15,322.3,322.06082
World,OWID_WRL,2009-10-15,322.5,322.13165
World,OWID_WRL,2009-11-15,322.7,322.20667
World,OWID_WRL,2009-12-15,322.84,322.27832
World,OWID_WRL,2010-01-15,322.91,322.33667
World,OWID_WRL,2010-02-15,322.93,322.38583
World,OWID_WRL,2010-03-15,322.94,322.4425
World,OWID_WRL,2010-04-15,322.97,322.515
World,OWID_WRL,2010-05-15,323.01,322.60083
World,OWID_WRL,2010-06-15,323.01,322.68918
World,OWID_WRL,2010-07-15,323.02,322.7725
World,OWID_WRL,2010-08-15,323.1,322.8525
World,OWID_WRL,2010-09-15,323.26,322.9325
World,OWID_WRL,2010-10-15,323.51,323.01666
World,OWID_WRL,2010-11-15,323.76,323.105
World,OWID_WRL,2010-12-15,323.92,323.195
World,OWID_WRL,2011-01-15,324.03,323.28833
World,OWID_WRL,2011-02-15,324.07,323.38333
World,OWID_WRL,2011-03-15,324.07,323.4775
World,OWID_WRL,2011-04-15,324.06,323.56833
World,OWID_WRL,2011-05-15,324.05,323.655
World,OWID_WRL,2011-06-15,324.05,323.74167
World,OWID_WRL,2011-07-15,324.05,323.8275
World,OWID_WRL,2011-08-15,324.1,323.91083
World,OWID_WRL,2011-09-15,324.24,323.9925
World,OWID_WRL,2011-10-15,324.45,324.07083
World,OWID_WRL,2011-11-15,324.63,324.14334
World,OWID_WRL,2011-12-15,324.77,324.21417
World,OWID_WRL,2012-01-15,324.9,324.28665
World,OWID_WRL,2012-02-15,324.97,324.36166
World,OWID_WRL,2012-03-15,324.95,324.435
World,OWID_WRL,2012-04-15,324.92,324.50665
World,OWID_WRL,2012-05-15,324.9,324.5775
World,OWID_WRL,2012-06-15,324.86,324.645
World,OWID_WRL,2012-07-15,324.87,324.71332
World,OWID_WRL,2012-08-15,324.97,324.78583
World,OWID_WRL,2012-09-15,325.12,324.85916
World,OWID_WRL,2012-10-15,325.28,324.92834
World,OWID_WRL,2012-11-15,325.43,324.995
World,OWID_WRL,2012-12-15,325.53,325.05832
World,OWID_WRL,2013-01-15,325.58,325.115
World,OWID_WRL,2013-02-15,325.62,325.16916
World,OWID_WRL,2013-03-15,325.68,325.22998
World,OWID_WRL,2013-04-15,325.74,325.29834
World,OWID_WRL,2013-05-15,325.81,325.37415
World,OWID_WRL,2013-06-15,325.9,325.46082
World,OWID_WRL,2013-07-15,325.96,325.55167
World,OWID_WRL,2013-08-15,325.98,325.63583
World,OWID_WRL,2013-09-15,326.05,325.71332
World,OWID_WRL,2013-10-15,326.21,325.79083
World,OWID_WRL,2013-11-15,326.38,325.87
World,OWID_WRL,2013-12-15,326.52,325.95248
World,OWID_WRL,2014-01-15,326.61,326.03833
World,OWID_WRL,2014-02-15,326.66,326.125
World,OWID_WRL,2014-03-15,326.72,326.21167
World,OWID_WRL,2014-04-15,326.79,326.29916
World,OWID_WRL,2014-05-15,326.82,326.38333
World,OWID_WRL,2014-06-15,326.89,326.46582
World,OWID_WRL,2014-07-15,327.03,326.555
World,OWID_WRL,2014-08-15,327.19,326.65582
World,OWID_WRL,2014-09-15,327.34,326.76334
World,OWID_WRL,2014-10-15,327.52,326.8725
World,OWID_WRL,2014-11-15,327.72,326.98416
World,OWID_WRL,2014-12-15,327.87,327.09668
World,OWID_WRL,2015-01-15,327.99,327.21167
World,OWID_WRL,2015-02-15,328.05,327.3275
World,OWID_WRL,2015-03-15,328.04,327.4375
World,OWID_WRL,2015-04-15,327.97,327.53583
World,OWID_WRL,2015-05-15,327.92,327.6275
World,OWID_WRL,2015-06-15,327.95,327.71582
World,OWID_WRL,2015-07-15,328.04,327.8
World,OWID_WRL,2015-08-15,328.12,327.8775
World,OWID_WRL,2015-09-15,328.24,327.9525
World,OWID_WRL,2015-10-15,328.42,328.0275
World,OWID_WRL,2015-11-15,328.61,328.10165
World,OWID_WRL,2015-12-15,328.77,328.17667
World,OWID_WRL,2016-01-15,328.87,328.25
World,OWID_WRL,2016-02-15,328.9,328.32083
World,OWID_WRL,2016-03-15,328.88,328.39084
World,OWID_WRL,2016-04-15,328.88,328.46667
World,OWID_WRL,2016-05-15,328.9,328.54834
World,OWID_WRL,2016-06-15,328.91,328.62833
World,OWID_WRL,2016-07-15,328.84,328.695
World,OWID_WRL,2016-08-15,328.78,328.75
World,OWID_WRL,2016-09-15,328.85,328.80084
World,OWID_WRL,2016-10-15,329.05,328.85333
World,OWID_WRL,2016-11-15,329.23,328.905
World,OWID_WRL,2016-12-15,329.36,328.95416
World,OWID_WRL,2017-01-15,329.46,329.00333
World,OWID_WRL,2017-02-15,329.52,329.055
World,OWID_WRL,2017-03-15,329.54,329.11
World,OWID_WRL,2017-04-15,329.53,329.16415
World,OWID_WRL,2017-05-15,329.52,329.21582
World,OWID_WRL,2017-06-15,329.58,329.27167
World,OWID_WRL,2017-07-15,329.7,329.34332
World,OWID_WRL,2017-08-15,329.79,329.4275
World,OWID_WRL,2017-09-15,329.87,329.5125
World,OWID_WRL,2017-10-15,330.01,329.5925
World,OWID_WRL,2017-11-15,330.15,329.66916
World,OWID_WRL,2017-12-15,330.29,329.74667
World,OWID_WRL,2018-01-15,330.45,329.82916
World,OWID_WRL,2018-02-15,330.6,329.91916
World,OWID_WRL,2018-03-15,330.69,330.015
World,OWID_WRL,2018-04-15,330.71,330.11334
World,OWID_WRL,2018-05-15,330.7,330.21167
World,OWID_WRL,2018-06-15,330.7,330.305
World,OWID_WRL,2018-07-15,330.75,330.39252
World,OWID_WRL,2018-08-15,330.88,330.48334
World,OWID_WRL,2018-09-15,331.08,330.58417
World,OWID_WRL,2018-10-15,331.28,330.69
World,OWID_WRL,2018-11-15,331.48,330.80084
World,OWID_WRL,2018-12-15,331.68,330.91666
World,OWID_WRL,2019-01-15,331.79,331.02832
World,OWID_WRL,2019-02-15,331.75,331.12418
World,OWID_WRL,2019-03-15,331.66,331.20502
World,OWID_WRL,2019-04-15,331.62,331.28082
World,OWID_WRL,2019-05-15,331.64,331.35916
World,OWID_WRL,2019-06-15,331.73,331.445
World,OWID_WRL,2019-07-15,331.85,331.53668
World,OWID_WRL,2019-08-15,331.89,331.62085
World,OWID_WRL,2019-09-15,331.93,331.69168
World,OWID_WRL,2019-10-15,332.08,331.75833
World,OWID_WRL,2019-11-15,332.27,331.82416
World,OWID_WRL,2019-12-15,332.42,331.88583
World,OWID_WRL,2020-01-15,332.51,331.94583
World,OWID_WRL,2020-02-15,332.58,332.015
World,OWID_WRL,2020-03-15,332.64,332.09668
World,OWID_WRL,2020-04-15,332.72,332.18832
World,OWID_WRL,2020-05-15,332.79,332.28418
World,OWID_WRL,2020-06-15,332.9,332.38165
World,OWID_WRL,2020-07-15,333.04,332.48083
World,OWID_WRL,2020-08-15,333.17,332.5875
World,OWID_WRL,2020-09-15,333.27,332.69916
World,OWID_WRL,2020-10-15,333.43,332.81168
World,OWID_WRL,2020-11-15,333.63,332.925
World,OWID_WRL,2020-12-15,333.8,333.04
World,OWID_WRL,2021-01-15,333.92,333.1575
World,OWID_WRL,2021-02-15,334,333.27585
World,OWID_WRL,2021-03-15,334.05,333.39334
World,OWID_WRL,2021-04-15,334.1,333.50833
World,OWID_WRL,2021-05-15,334.14,333.62085
World,OWID_WRL,2021-06-15,334.15,333.725
World,OWID_WRL,2021-07-15,334.17,333.81915
World,OWID_WRL,2021-08-15,334.25,333.90918
World,OWID_WRL,2021-09-15,334.42,334.005
World,OWID_WRL,2021-10-15,334.64,334.10583
World,OWID_WRL,2021-11-15,334.87,334.20917
World,OWID_WRL,2021-12-15,335.09,334.31668
World,OWID_WRL,2022-01-15,335.26,334.42834
World,OWID_WRL,2022-02-15,335.36,334.54166
World,OWID_WRL,2022-03-15,335.42,334.65582
World,OWID_WRL,2022-04-15,335.47,334.77002
World,OWID_WRL,2022-05-15,335.48,334.88168
World,OWID_WRL,2022-06-15,335.5,334.99417
World,OWID_WRL,2022-07-15,335.56,335.11002
World,OWID_WRL,2022-08-15,335.65,335.22668
World,OWID_WRL,2022-09-15,335.77,335.33917
World,OWID_WRL,2022-10-15,335.94,335.4475
World,OWID_WRL,2022-11-15,336.15,335.55417
World,OWID_WRL,2022-12-15,336.33,335.6575
World,OWID_WRL,2023-01-15,336.46,335.7575
World,OWID_WRL,2023-02-15,336.53,335.855
World,OWID_WRL,2023-03-15,336.57,335.95084
World,OWID_WRL,2023-04-15,336.58,336.04333
World,OWID_WRL,2023-05-15,336.58,336.135
World,OWID_WRL,2023-06-15,336.59,336.22583
World,OWID_WRL,2023-07-15,336.63,336.315
World,OWID_WRL,2023-08-15,336.67,336.4
World,OWID_WRL,2023-09-15,336.75,336.48166
World,OWID_WRL,2023-10-15,336.9,336.56168
World,OWID_WRL,2023-11-15,337.1,336.64084
World,OWID_WRL,2023-12-15,337.31,336.7225
World,OWID_WRL,2024-01-15,337.49,336.80832
World,OWID_WRL,2024-02-15,337.59,336.89667
World,OWID_WRL,2024-03-15,337.62,336.98416
World,OWID_WRL,2024-04-15,337.65,337.07333
World,OWID_WRL,2024-05-15,337.69,337.16583
World,OWID_WRL,2024-06-15,337.72,337.26
World,OWID_WRL,2024-07-15,337.68,337.3475
